Opening Name,Num Games,Perf Rating,Avg Player,Player Win %,Draw %,Opponent Win %,Avg Num Moves,Num Variations,DeltaPerf
Modern Defense,76511,2244.217391304348,2254.2608695652175,34.904347826086955,28.095652173913045,37.01304347826087,6.608695652173913,23,-10.043478260869506
Neo-Gruenfeld Defense,15621,2338.5833333333335,2334.9166666666665,31.90833333333333,40.34166666666667,27.775000000000002,12.5,12,3.66666666666697
Neo-Grünfeld Defense,1582,2117.5,2179.5,22.049999999999997,22.75,55.25,6.0,2,-62.0
Nimzo-Indian Defense,95740,2358.287878787879,2359.9242424242425,33.03181818181818,35.803030303030305,31.16212121212121,11.06060606060606,66,-1.6363636363635123
Nimzo-Larsen Attack,16134,2178.4285714285716,2185.5714285714284,34.4,28.457142857142856,37.15714285714286,1.8571428571428572,7,-7.142857142856883
Nimzowitsch Defense,9318,2163.3125,2177.0,36.96875,22.95,40.09375,5.125,16,-13.6875
Nimzowitsch-Larsen Attack,4058,2237.0,2220.0,36.4,32.4,31.2,3.0,1,17.0
Old Indian,1681,2215.6666666666665,2251.6666666666665,31.566666666666663,29.566666666666666,38.9,6.333333333333333,3,-36.0
Old Indian Defense,12330,2332.875,2310.0,38.4875,31.1375,30.3875,6.625,8,22.875
Owen Defense,4594,2033.0,2102.0,31.6,21.9,46.6,2.0,1,-69.0
Philidor Defense,25012,2175.095238095238,2170.9523809523807,39.50476190476191,24.423809523809524,36.08095238095238,8.80952380952381,21,4.142857142857338
Pirc Defense,55602,2252.913043478261,2224.8695652173915,40.02608695652174,27.847826086956523,32.13913043478261,9.217391304347826,23,28.043478260869506
Polish Defense,1067,2093.0,2168.0,31.0,22.2,46.8,2.0,1,-75.0
Polish Opening,6215,2103.7272727272725,2103.2727272727275,39.663636363636364,23.627272727272725,36.70909090909091,4.363636363636363,11,0.45454545454504114
Ponziani Opening,2715,2213.4,2213.0,39.9,23.4,36.72,6.6,5,0.40000000000009095
Portuguese Opening,102,2169.0,2163.0,40.2,24.5,35.3,3.0,1,6.0
Pterodactyl Defense,2301,2226.625,2213.125,33.9375,26.425,39.65,8.125,8,13.5
Queen Pawn Game,86260,2138.029411764706,2140.970588235294,35.40294117647059,28.291176470588233,36.300000000000004,5.264705882352941,34,-2.941176470588289
Queen Pawn Opening,1232,2140.0,2107.0,46.9,24.2,28.9,1.0,1,33.0
Queen's Gambit Accepted,31896,2306.945945945946,2312.945945945946,31.094594594594593,36.054054054054056,32.84864864864865,8.594594594594595,37,-6.0
Queen's Gambit Declined,117686,2310.945945945946,2300.9864864864867,33.410810810810815,38.82432432432432,27.77297297297297,12.013513513513514,74,9.95945945945914
Queen's Gambit Refused,15355,2175.5714285714284,2190.8571428571427,32.614285714285714,25.361904761904764,42.02857142857143,7.142857142857143,21,-15.28571428571422
Queen's Indian Defense,57417,2356.317073170732,2352.560975609756,32.60243902439024,38.08048780487805,29.329268292682926,10.878048780487806,41,3.7560975609758316
Rat Defense,16146,2123.1666666666665,2155.1666666666665,32.949999999999996,25.03333333333333,42.016666666666666,3.8333333333333335,6,-32.0
Reti Opening,12895,2280.8571428571427,2279.6428571428573,35.464285714285715,31.857142857142858,32.66428571428572,6.785714285714286,14,1.2142857142853245
Rubinstein Opening,2210,2207.6666666666665,2216.3333333333335,34.0,29.96666666666667,36.03333333333334,12.333333333333334,2,-8.66666666666697
Russian Game,27537,2273.8846153846152,2259.5,34.75,36.784615384615385,28.476923076923075,10.461538461538462,26,14.384615384615245
Saragossa Opening,799,2056.0,2066.0,32.3,26.4,41.3,1.0,1,-10.0
Scandinavian Defense,51575,2118.7727272727275,2129.3636363636365,34.15909090909091,25.9,39.95454545454545,7.2727272727272725,22,-10.590909090909008
Scotch Game,35086,2123.0,2120.153846153846,40.146153846153844,24.66923076923077,35.176923076923075,9.0,26,2.846153846153811
Semi-Slav Defense,69212,2314.35,2311.7,35.595,31.835,32.565,13.825,40,2.650000000000091
Sicilian Defense,737822,2221.628787878788,2220.6969696969695,36.22803030303031,27.665151515151518,36.10871212121212,10.704545454545455,264,0.9318181818184712
Slav Defense,99658,2283.945945945946,2288.945945945946,31.93783783783784,35.545945945945945,32.51081081081081,9.837837837837839,37,-5.0
Slav Indian,1514,2259.0,2300.0,26.4,36.1,37.5,4.0,1,-41.0
Spanish Game,153274,2284.125,2291.21875,31.80625,33.7140625,34.484375,13.0625,128,-7.09375
St. George Defense,1283,2093.3333333333335,2171.3333333333335,30.166666666666668,20.2,49.63333333333333,7.333333333333333,3,-78.0
System,412,1907.0,1888.0,30.6,15.3,54.1,3.0,1,19.0
Tarrasch Defense,16913,2258.9411764705883,2277.529411764706,28.441176470588236,34.55294117647059,37.00588235294118,14.823529411764707,17,-18.588235294117567
Three Knights Opening,2551,2244.3333333333335,2244.0,38.9,26.833333333333332,34.266666666666666,6.666666666666667,3,0.3333333333334849
Torre Attack,18747,2325.2,2298.6,37.44,34.6,27.96,6.6,5,26.59999999999991
Trompowsky Attack,26990,2283.1666666666665,2263.6666666666665,39.916666666666664,26.849999999999998,33.266666666666666,4.833333333333333,6,19.5
Van Geet Opening,4480,2168.6,2153.8,37.980000000000004,26.46,35.5,4.6,5,14.799999999999727
Van't Kruijs Opening,1713,2082.0,2102.0,32.3,20.7,47.0,1.0,1,-20.0
Vienna Game,10903,2173.4285714285716,2149.0,43.01904761904762,24.48095238095238,32.49523809523809,7.333333333333333,21,24.42857142857156
Wade Defense,5081,2295.0,2337.0,28.6,35.0,36.4,4.0,1,-42.0
Zukertort Opening,75902,2193.1304347826085,2208.0,33.92173913043479,28.47826086956522,37.59130434782609,3.4782608695652173,23,-14.869565217391482
